Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Cluster,anomaly_score,is_anomaly
1,51,1,8014,0,42,140.0,1,19,37,134,193,138.0,1,0,1,1,0,1,21,0,13,13,13,11,12.72727273,0,9,11,11,10,12.6,0,8.9,1.4,3.51,Graduate,1,-0.12955211631837316,True
1,43,1,9085,1,1,110.0,25,38,38,9,6,117.2,1,0,0,1,1,0,28,1,13,18,45,18,12.5,12,10,13,26,12,11.42857143,6,15.5,2.8,-4.06,Graduate,1,-0.12225513014407952,True
1,43,1,9500,1,1,148.0,1,29,38,90,3,131.0,1,0,0,1,0,1,22,0,18,23,23,20,14.575,3,18,23,23,20,14.575,3,7.6,2.6,0.32,Graduate,1,-0.11759640302305774,True
1,43,2,9500,1,1,130.0,1,38,37,4,4,126.8,1,0,0,1,1,1,28,0,18,23,23,20,13.5,3,18,23,23,20,13.5,3,7.6,2.6,0.32,Graduate,1,-0.11328476489515693,True
1,42,1,9500,1,6,141.0,1,37,1,9,4,145.0,0,0,0,1,0,0,21,0,12,21,33,18,14.93333333,12,12,21,33,18,14.93333333,12,7.6,2.6,0.32,Graduate,1,-0.10293051498240469,True
1,42,1,9085,1,39,150.0,1,1,1,4,7,150.0,1,0,0,1,0,0,26,0,11,18,45,18,11.83333333,10,9,13,27,13,12.46153846,5,15.5,2.8,-4.06,Graduate,1,-0.0987435603125737,True
1,7,1,33,1,40,120.0,1,38,37,5,6,120.0,1,0,1,0,1,0,25,0,18,21,26,21,12.36363636,0,12,16,21,12,12.25,1,11.1,0.6,2.02,Dropout,1,-0.09805771966369448,True
1,42,1,9500,1,1,150.0,1,19,1,9,3,110.0,1,0,0,1,1,1,33,0,6,14,20,14,13.07285714,6,6,14,20,14,13.07285714,6,9.4,-0.8,-3.12,Graduate,1,-0.08867663614063948,True
2,43,1,8014,0,1,133.1,1,34,34,0,0,100.0,0,0,0,1,0,1,35,0,11,16,16,16,12.6875,0,11,13,13,13,12.0,0,9.4,-0.8,-3.12,Graduate,1,-0.08861106977812427,True
1,53,1,9003,1,42,130.0,1,1,1,144,144,125.8,0,0,1,1,0,0,21,0,7,13,21,11,11.90909091,0,5,11,14,11,10.72727273,0,8.9,1.4,3.51,Graduate,1,-0.0813227068213982,True
