Student_ID,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,academic_momentum,engagement_ratio,financial_stress_index,early_performance_score,Cluster,Target,Risk_Status,Risk_Score,trajectory_deteriorating
1,1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,2.1,0.2857142857142857,3,8.142857142857144,0,Dropout,AT RISK,49.4,False
2,1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,-1.0,0.2857142857142857,1,1.7142857142857142,0,Enrolled,AT RISK,76.4,False
3,1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,-0.5999999999999996,0.5714285714285714,1,8.285714285714286,0,Enrolled,AT RISK,64.7,False
4,1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,2.16666667,0.3333333333333333,2,5.666666665,0,Enrolled,AT RISK,61.1,False
5,1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,1.0285714299999995,0.8333333333333334,1,10.333333333333334,0,Graduate,AT RISK,19.4,False
6,1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,0.8000000000000007,0.7142857142857143,2,7.428571428571428,0,Dropout,AT RISK,72.0,False
7,1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,-3.0,0.4285714285714285,0,8.0,0,Enrolled,AT RISK,74.9,False
8,1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,0.4000000000000003,0.8333333333333334,1,8.833333333333334,0,Dropout,AT RISK,34.0,False
9,1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,-1.4000000000000004,0.1428571428571428,1,8.142857142857144,0,Enrolled,AT RISK,79.2,True
10,1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,-1.1999999999999993,0.7142857142857143,1,10.285714285714285,0,Enrolled,AT RISK,66.9,True
11,1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,0.0,0.4285714285714285,1,10.571428568571427,0,Graduate,AT RISK,84.3,True
12,1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,0.5238095299999994,0.5,2,5.166666665,0,Dropout,AT RISK,73.0,False
13,1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,-0.6666666699999997,0.5,1,10.0,0,Enrolled,AT RISK,91.0,True
14,1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,1.0999999999999996,0.8333333333333334,0,7.0,0,Graduate,AT RISK,70.3,False
15,1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,0,7,12,6,11.66666667,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,1.3333333300000003,0.375,1,8.7500000025,0,Enrolled,AT RISK,76.9,True
