t-SNE_1,t-SNE_2,Target
-17.517149,-32.83503,Graduate
-14.689716,-16.112484,Graduate
55.001244,12.149481,Graduate
-33.729618,-34.378487,Dropout
0.678999,-12.900539,Graduate
51.51785,12.671004,Graduate
4.479766,13.993469,Graduate
-46.18562,4.723917,Enrolled
44.515232,-18.417587,Graduate
31.053871,-7.1177187,Enrolled
32.364834,-9.718923,Graduate
-31.586477,-21.839413,Enrolled
-11.905963,-15.900734,Graduate
-19.84177,-13.303138,Graduate
26.552998,-9.065266,Enrolled
-28.993652,-27.96539,Enrolled
-51.71804,27.258888,Graduate
-2.2028654,-24.245747,Graduate
-26.992382,-32.753777,Dropout
-9.72198,-18.452738,Graduate
3.6553586,38.127785,Graduate
11.752781,32.415363,Graduate
43.509758,10.627757,Enrolled
-41.441666,-11.271474,Enrolled
-53.181355,25.62122,Dropout
44.77838,-18.705685,Graduate
40.74758,-9.081789,Graduate
32.169407,-2.299317,Graduate
-34.161724,6.2737894,Enrolled
-16.190212,20.544651,Enrolled
39.706093,-14.07217,Graduate
-33.084335,-12.713292,Graduate
-39.97916,-25.337797,Dropout
-9.689057,7.6916156,Enrolled
-3.8650138,23.501116,Graduate
26.109716,-6.110392,Enrolled
6.228736,-17.8551,Graduate
-31.717781,3.4808047,Enrolled
-6.4048057,-24.223484,Graduate
9.16318,-19.321789,Graduate
30.741789,1.1611552,Enrolled
-47.420673,5.0799174,Enrolled
-38.499973,5.131878,Enrolled
-16.967121,-11.071326,Graduate
-40.342773,8.692256,Dropout
-0.20778781,14.572777,Graduate
36.6951,19.488825,Graduate
26.077377,30.666943,Enrolled
-3.9178467,-10.428275,Graduate
44.577267,3.8391244,Dropout
-8.212341,-19.409513,Graduate
-30.649166,-37.69437,Dropout
-23.508072,-8.975098,Graduate
38.858604,5.6058927,Enrolled
14.397731,24.178333,Graduate
49.78478,11.706444,Graduate
-33.160744,-6.018197,Dropout
1.3485247,-4.033108,Graduate
51.75098,1.2899902,Graduate
-17.863655,-10.858625,Graduate
-37.458546,-10.545518,Enrolled
3.3672867,-22.393778,Graduate
-37.654434,12.70025,Dropout
-33.392143,-14.84966,Dropout
-1.0218995,15.297335,Graduate
6.12293,35.94222,Graduate
-29.696281,-5.3451757,Graduate
1.714594,-7.675083,Dropout
52.53162,13.268421,Graduate
45.218544,-11.333784,Graduate
-13.010837,-9.977549,Graduate
