UMAP_1,UMAP_2,Target
-1.0750239,13.280358,Graduate
-2.2667146,9.737403,Graduate
-1.5542715,2.4947062,Graduate
0.15700965,13.559329,Dropout
-3.724196,9.210878,Graduate
-1.5667987,2.7273169,Graduate
1.6114314,7.0911627,Graduate
0.2492059,10.722862,Enrolled
-3.3044362,2.4594536,Graduate
-2.8082285,4.376294,Enrolled
-3.1827953,4.1544166,Graduate
-0.27761206,12.448414,Enrolled
-3.7262847,9.961735,Graduate
-2.6822977,10.011668,Graduate
-3.037485,4.514227,Enrolled
-0.13289991,12.928782,Enrolled
13.893113,5.627973,Graduate
-3.9088311,8.473834,Graduate
-0.36964643,13.298299,Dropout
-3.7287908,9.901738,Graduate
-0.040595148,6.5251,Graduate
2.2360332,6.451185,Graduate
-0.22930053,3.4652708,Enrolled
-0.02346709,8.876771,Enrolled
13.96571,5.5717115,Dropout
-3.2824166,2.516601,Graduate
-3.0616775,3.3109403,Graduate
-2.4122806,3.1785629,Graduate
-0.6443785,10.450537,Enrolled
-1.9128418,8.231637,Enrolled
-3.3365116,3.3877487,Graduate
-1.3051356,9.891309,Graduate
0.25977707,12.326458,Dropout
-0.90251213,8.9748535,Enrolled
1.3713943,7.880064,Graduate
-2.6744602,4.450113,Enrolled
-4.3446174,7.983987,Graduate
-0.7726934,10.464499,Enrolled
-3.7231872,8.975788,Graduate
-4.606629,7.9713936,Graduate
-2.378447,3.9585474,Enrolled
0.28275767,10.780285,Enrolled
-0.38963532,10.707326,Enrolled
-2.7722569,10.800178,Graduate
0.04620029,10.358207,Dropout
2.1101012,7.1379256,Graduate
-1.2005645,7.970464,Graduate
1.1891943,5.423698,Enrolled
-4.057544,9.29089,Graduate
-0.14049351,2.6726089,Dropout
-3.7651677,9.877498,Graduate
-0.1304145,13.754632,Dropout
-1.9764097,11.076311,Graduate
0.3516084,3.3154342,Enrolled
2.1068366,6.597208,Graduate
-1.5183448,2.8084025,Graduate
-0.5477298,10.228312,Dropout
-3.0079358,8.353771,Graduate
-0.5309841,2.098662,Graduate
-2.743454,10.651637,Graduate
-0.2386962,9.58723,Enrolled
-4.8440795,8.168114,Graduate
-0.3972426,9.511673,Dropout
-1.5309101,9.850371,Dropout
2.0380504,7.9780326,Graduate
0.34841755,6.734225,Graduate
-0.95833975,10.119132,Graduate
-3.469544,8.276902,Dropout
-1.7389936,2.711654,Graduate
-2.9772651,2.4630642,Graduate
-3.0319948,10.440285,Graduate
0.25750285,6.7323008,Graduate
-0.6021682,9.45124,Graduate
-0.0919049,9.761413,Dropout
-2.4026017,2.862659,Graduate
-2.70787,9.281375,Graduate
-0.076433145,13.902091,Dropout
1.7543905,8.285002,Enrolled
-2.1663575,8.0773535,Graduate
0.2787094,13.790498,Dropout
1.4707038,4.8010373,Graduate
1.8760128,6.748626,Graduate
-3.147757,4.0699267,Graduate
0.29847655,8.216444,Graduate
-0.43806198,10.095112,Graduate
-2.732156,2.6403193,Graduate
-2.9694264,8.841839,Graduate
-1.5203158,2.9453838,Graduate
1.5902039,5.053372,Graduate
1.3678933,6.0195074,Graduate
-2.5168464,8.875056,Graduate
1.8558402,7.8054376,Graduate
1.550705,7.5837708,Graduate
-0.30351967,10.258535,Dropout
-0.75366163,4.061758,Graduate
-0.36424398,2.1297889,Graduate
1.3500481,6.533714,Graduate
-2.4177773,4.038618,Graduate
-2.1777294,9.189164,Graduate
-3.0061297,10.421108,Graduate
0.04898775,7.8818197,Graduate
1.5904201,5.430396,Graduate
1.0307604,5.964101,Graduate
0.7615147,5.8665843,Graduate
-3.5086832,4.655326,Enrolled
1.90056,7.98729,Graduate
-0.15950912,3.1745653,Graduate
-1.1115808,10.158818,Graduate
0.20811087,3.7140958,Graduate
-3.5183587,10.0325365,Enrolled
2.3023283,5.5422244,Dropout
-2.687127,10.375585,Graduate
-3.858949,10.008135,Enrolled
1.4643978,7.671498,Graduate
0.10620599,7.7193675,Graduate
-3.4491098,8.123819,Graduate
-3.6511881,9.056328,Graduate
-1.5084014,9.3846,Graduate
-0.008044134,6.518618,Graduate
2.536846,5.919218,Graduate
0.17875168,12.151064,Dropout
-2.862369,8.909625,Graduate
-3.5967464,7.518122,Graduate
-3.7444663,3.672231,Graduate
-0.31202698,9.48055,Dropout
-0.5479521,1.922334,Enrolled
-1.6090045,2.6191347,Graduate
1.4485956,6.6334867,Graduate
-1.339294,7.6345882,Enrolled
-3.6696799,3.971043,Graduate
0.4634386,8.909789,Dropout
2.3000066,5.9508333,Graduate
-2.9338124,9.486856,Graduate
2.1830618,7.435815,Graduate
-1.4329051,2.13105,Graduate
0.18829301,13.935254,Dropout
-0.90766335,10.220666,Enrolled
-0.8958848,13.491309,Graduate
-0.09026461,10.142584,Dropout
1.8362862,7.9601727,Graduate
-4.040171,7.772826,Graduate
-0.3019535,2.0779715,Graduate
-3.823552,3.4805655,Graduate
1.5233151,7.457518,Graduate
-2.5336993,2.5021157,Enrolled
-4.071261,3.403577,Graduate
-0.8264528,9.647617,Graduate
-0.10990142,13.176529,Graduate
-1.9822602,9.340801,Enrolled
-2.7948167,4.6604176,Enrolled
-3.9147012,10.092337,Graduate
1.6065946,5.727751,Graduate
-2.75259,9.205682,Graduate
-4.341707,8.528648,Graduate
-0.5558596,9.406587,Dropout
2.2165549,6.4215565,Graduate
-3.8597267,8.162209,Graduate
0.37902263,12.449095,Dropout
-1.5811769,2.5729704,Graduate
-1.1668057,11.05724,Enrolled
0.3757328,6.121899,Graduate
-0.4542811,1.9155444,Graduate
-3.1306436,4.512368,Enrolled
0.24663068,10.797636,Enrolled
0.33241716,6.683494,Graduate
-2.3965373,9.307132,Graduate
-4.8141456,8.032123,Graduate
-1.5451388,9.022647,Enrolled
-1.0991409,4.489316,Enrolled
0.13386889,12.25366,Dropout
-0.35513568,13.352892,Dropout
0.26054338,10.739703,Enrolled
0.37393582,9.0239525,Enrolled
-2.772444,9.936969,Enrolled
-3.2129488,3.3793442,Graduate
-2.432749,7.1012764,Graduate
-0.31445405,2.5877216,Graduate
-3.0749462,4.317004,Graduate
2.3292313,6.059072,Graduate
-1.4325503,7.8192353,Graduate
-0.30395365,9.474341,Dropout
-0.30162397,2.0725977,Graduate
-4.8466945,7.897258,Graduate
-0.2687224,10.789539,Enrolled
-1.1782936,10.19977,Graduate
-0.27926195,3.2084277,Graduate
2.2417078,7.2820754,Graduate
-2.2869008,7.0712166,Graduate
1.1741987,7.9009223,Enrolled
0.602272,6.5135217,Graduate
0.26345628,12.340929,Enrolled
-2.235384,10.986818,Graduate
2.0186353,6.436759,Graduate
-0.33395573,1.9160619,Graduate
-3.1852925,2.424091,Dropout
-4.3373404,9.577069,Graduate
1.8212202,7.2243237,Enrolled
-3.0020106,3.460295,Graduate
-3.1615078,2.4316187,Graduate
-1.8218757,10.682674,Enrolled
-1.7928731,8.244464,Dropout
1.2339846,6.737133,Graduate
-3.9078238,7.3981485,Graduate
-1.0157969,8.697452,Graduate
-0.9495694,8.680124,Enrolled
-0.25561038,2.969861,Graduate
1.90255,6.569992,Graduate
-2.0782218,9.605033,Dropout
-5.1447544,8.190174,Graduate
-2.1649654,11.008386,Graduate
-1.3173776,4.4920206,Graduate
-3.0903256,4.1938524,Graduate
1.7729714,6.4914675,Graduate
-1.5378022,2.7035942,Graduate
0.06725893,3.3721786,Graduate
-4.171659,8.677869,Graduate
-1.3065822,4.5583467,Enrolled
-2.226459,9.316836,Graduate
-2.7842534,9.833744,Graduate
-2.8683138,3.0689855,Graduate
-3.728053,9.964179,Graduate
-1.6621108,3.0781846,Graduate
-2.3004575,7.0911283,Graduate
-2.3553371,8.611328,Graduate
-1.4325784,9.453401,Dropout
-0.17391467,9.696855,Dropout
0.10440382,12.95867,Dropout
-0.27106285,9.004573,Enrolled
-3.7847438,4.193549,Graduate
13.94051,5.600984,Graduate
-1.0589128,8.413102,Graduate
-1.9710147,9.815045,Dropout
-3.3471954,3.2538612,Graduate
-0.7947302,11.220228,Enrolled
-4.0807233,3.3885725,Graduate
2.2660546,7.3326025,Enrolled
-0.62915313,9.095751,Enrolled
-0.29054508,13.202827,Enrolled
-3.3600988,9.168517,Graduate
-0.720153,11.022295,Enrolled
-2.7603905,3.7291358,Graduate
13.911246,5.6311154,Dropout
-3.514603,9.1267395,Graduate
-2.4738173,8.234848,Graduate
-1.8951094,8.504474,Graduate
-3.1596553,2.5585148,Graduate
-4.202143,8.398554,Enrolled
-1.6539745,10.482632,Graduate
0.69992536,6.536048,Graduate
0.061163068,6.602483,Graduate
-0.3572198,10.04968,Graduate
-4.174883,9.300973,Graduate
-0.8336084,8.331688,Enrolled
-1.7097498,9.566518,Enrolled
-0.48585185,13.3434725,Enrolled
